puerto,estado
614,(filtrado)
615,(filtrado)
616,(filtrado)
617,(filtrado)
618,(filtrado)
619,(filtrado)
620,(filtrado)
621,(filtrado)
622,(filtrado)
623,(filtrado)
624,(filtrado)
625,(filtrado)
626,(filtrado)
627,(filtrado)
628,(filtrado)
629,(filtrado)
630,(filtrado)
631,(filtrado)
632,(filtrado)
633,(filtrado)
634,(filtrado)
635,(filtrado)
636,(filtrado)
637,(filtrado)
638,(filtrado)
639,(filtrado)
640,(filtrado)
641,(filtrado)
642,(filtrado)
643,(filtrado)
644,(filtrado)
645,(filtrado)
646,(filtrado)
647,(filtrado)
648,(filtrado)
649,(filtrado)
650,(filtrado)
651,(filtrado)
652,(filtrado)
653,(filtrado)
654,(filtrado)
655,(filtrado)
656,(filtrado)
657,(filtrado)
658,(filtrado)
659,(filtrado)
660,(filtrado)
661,(filtrado)
662,(filtrado)
663,(filtrado)
664,(filtrado)
665,(filtrado)
666,(filtrado)
667,(filtrado)
668,(filtrado)
669,(filtrado)
670,(filtrado)
671,(filtrado)
672,(filtrado)
673,(filtrado)
674,(filtrado)
675,(filtrado)
676,(filtrado)
677,(filtrado)
678,(filtrado)
679,(filtrado)
680,(filtrado)
681,(filtrado)
682,(filtrado)
683,(filtrado)
684,(filtrado)
685,(filtrado)
686,(filtrado)
687,(filtrado)
688,(filtrado)
689,(filtrado)
690,(filtrado)
691,(filtrado)
692,(filtrado)
693,(filtrado)
694,(filtrado)
695,(filtrado)
696,(filtrado)
697,(filtrado)
698,(filtrado)
699,(filtrado)
700,(filtrado)
701,(filtrado)
702,(filtrado)
703,(filtrado)
704,(filtrado)
705,(filtrado)
706,(filtrado)
707,(filtrado)
708,(filtrado)
709,(filtrado)
710,(filtrado)
711,(filtrado)
712,(filtrado)
713,(filtrado)
714,(filtrado)
715,(filtrado)
716,(filtrado)
717,(filtrado)
718,(filtrado)
719,(filtrado)
720,(filtrado)
721,(filtrado)
722,(filtrado)
723,(filtrado)
724,(filtrado)
725,(filtrado)
726,(filtrado)
727,(filtrado)
728,(filtrado)
729,(filtrado)
730,(filtrado)
731,(filtrado)
732,(filtrado)
733,(filtrado)
734,(filtrado)
735,(filtrado)
736,(filtrado)
737,(filtrado)
738,(filtrado)
739,(filtrado)
740,(filtrado)
741,(filtrado)
742,(filtrado)
743,(filtrado)
744,(filtrado)
745,(filtrado)
746,(filtrado)
747,(filtrado)
748,(filtrado)
749,(filtrado)
750,(filtrado)
751,(filtrado)
752,(filtrado)
753,(filtrado)
754,(filtrado)
755,(filtrado)
756,(filtrado)
757,(filtrado)
758,(filtrado)
759,(filtrado)
760,(filtrado)
761,(filtrado)
762,(filtrado)
763,(filtrado)
764,(filtrado)
765,(filtrado)
766,(filtrado)
767,(filtrado)
768,(filtrado)
769,(filtrado)
770,(filtrado)
771,(filtrado)
772,(filtrado)
773,(filtrado)
774,(filtrado)
775,(filtrado)
776,(filtrado)
777,(filtrado)
778,(filtrado)
779,(filtrado)
780,(filtrado)
781,(filtrado)
782,(filtrado)
783,(filtrado)
784,(filtrado)
785,(filtrado)
786,(filtrado)
787,(filtrado)
788,(filtrado)
789,(filtrado)
790,(filtrado)
791,(filtrado)
792,(filtrado)
793,(filtrado)
794,(filtrado)
795,(filtrado)
796,(filtrado)
797,(filtrado)
798,(filtrado)
799,(filtrado)
800,(filtrado)
801,(filtrado)
802,(filtrado)
803,(filtrado)
804,(filtrado)
805,(filtrado)
806,(filtrado)
807,(filtrado)
808,(filtrado)
809,(filtrado)
810,(filtrado)
811,(filtrado)
812,(filtrado)
813,(filtrado)
814,(filtrado)
815,(filtrado)
816,(filtrado)
817,(filtrado)
818,(filtrado)
819,(filtrado)
820,(filtrado)
821,(filtrado)
822,(filtrado)
823,(filtrado)
824,(filtrado)
825,(filtrado)
826,(filtrado)
827,(filtrado)
828,(filtrado)
829,(filtrado)
830,(filtrado)
831,(filtrado)
832,(filtrado)
833,(filtrado)
834,(filtrado)
835,(filtrado)
836,(filtrado)
837,(filtrado)
838,(filtrado)
839,(filtrado)
840,(filtrado)
841,(filtrado)
842,(filtrado)
843,(filtrado)
844,(filtrado)
845,(filtrado)
846,(filtrado)
847,(filtrado)
848,(filtrado)
849,(filtrado)
850,(filtrado)
851,(filtrado)
852,(filtrado)
853,(filtrado)
854,(filtrado)
855,(filtrado)
856,(filtrado)
857,(filtrado)
858,(filtrado)
859,(filtrado)
860,(filtrado)
861,(filtrado)
862,(filtrado)
863,(filtrado)
864,(filtrado)
865,(filtrado)
866,(filtrado)
867,(filtrado)
868,(filtrado)
869,(filtrado)
870,(filtrado)
871,(filtrado)
872,(filtrado)
873,(filtrado)
874,(filtrado)
875,(filtrado)
876,(filtrado)
877,(filtrado)
878,(filtrado)
879,(filtrado)
880,(filtrado)
881,(filtrado)
882,(filtrado)
883,(filtrado)
884,(filtrado)
885,(filtrado)
886,(filtrado)
887,(filtrado)
888,(filtrado)
889,(filtrado)
890,(filtrado)
891,(filtrado)
892,(filtrado)
893,(filtrado)
894,(filtrado)
895,(filtrado)
896,(filtrado)
897,(filtrado)
898,(filtrado)
899,(filtrado)
900,(filtrado)
901,(filtrado)
902,(filtrado)
903,(filtrado)
904,(filtrado)
905,(filtrado)
906,(filtrado)
907,(filtrado)
908,(filtrado)
909,(filtrado)
910,(filtrado)
911,(filtrado)
912,(filtrado)
913,(filtrado)
914,(filtrado)
915,(filtrado)
916,(filtrado)
917,(filtrado)
918,(filtrado)
919,(filtrado)
920,(filtrado)
921,(filtrado)
922,(filtrado)
923,(filtrado)
924,(filtrado)
925,(filtrado)
926,(filtrado)
927,(filtrado)
928,(filtrado)
929,(filtrado)
930,(filtrado)
931,(filtrado)
932,(filtrado)
933,(filtrado)
934,(filtrado)
935,(filtrado)
936,(filtrado)
937,(filtrado)
938,(filtrado)
939,(filtrado)
940,(filtrado)
941,(filtrado)
942,(filtrado)
943,(filtrado)
944,(filtrado)
945,(filtrado)
946,(filtrado)
947,(filtrado)
948,(filtrado)
949,(filtrado)
950,(filtrado)
951,(filtrado)
952,(filtrado)
953,(filtrado)
954,(filtrado)
955,(filtrado)
956,(filtrado)
957,(filtrado)
958,(filtrado)
959,(filtrado)
960,(filtrado)
961,(filtrado)
962,(filtrado)
963,(filtrado)
964,(filtrado)
965,(filtrado)
966,(filtrado)
967,(filtrado)
968,(filtrado)
969,(filtrado)
970,(filtrado)
971,(filtrado)
972,(filtrado)
973,(filtrado)
974,(filtrado)
975,(filtrado)
976,(filtrado)
977,(filtrado)
978,(filtrado)
979,(filtrado)
980,(filtrado)
981,(filtrado)
982,(filtrado)
983,(filtrado)
984,(filtrado)
985,(filtrado)
986,(filtrado)
987,(filtrado)
988,(filtrado)
989,(filtrado)
990,(filtrado)
991,(filtrado)
992,(filtrado)
993,(filtrado)
994,(filtrado)
995,(filtrado)
996,(filtrado)
997,(filtrado)
998,(filtrado)
999,(filtrado)
1000,(filtrado)
