puerto,estado
596,(abierto)
597,(abierto)
598,(abierto)
599,(abierto)
600,(abierto)
601,(abierto)
602,(abierto)
603,(abierto)
604,(abierto)
605,(abierto)
606,(abierto)
607,(abierto)
608,(abierto)
609,(abierto)
610,(abierto)
611,(abierto)
612,(abierto)
613,(abierto)
614,(abierto)
615,(abierto)
616,(abierto)
617,(abierto)
618,(abierto)
619,(abierto)
620,(abierto)
621,(abierto)
622,(abierto)
623,(abierto)
624,(abierto)
625,(abierto)
626,(abierto)
627,(abierto)
628,(abierto)
629,(abierto)
630,(abierto)
631,(abierto)
632,(abierto)
633,(abierto)
634,(abierto)
635,(abierto)
636,(abierto)
637,(abierto)
638,(abierto)
639,(abierto)
640,(abierto)
641,(abierto)
642,(abierto)
643,(abierto)
644,(abierto)
645,(abierto)
646,(abierto)
647,(abierto)
648,(abierto)
649,(abierto)
650,(abierto)
651,(abierto)
652,(abierto)
653,(abierto)
654,(abierto)
655,(abierto)
656,(abierto)
657,(abierto)
658,(abierto)
659,(abierto)
660,(abierto)
661,(abierto)
662,(abierto)
663,(abierto)
664,(abierto)
665,(abierto)
666,(abierto)
667,(abierto)
668,(abierto)
669,(abierto)
670,(abierto)
671,(abierto)
672,(abierto)
673,(abierto)
674,(abierto)
675,(abierto)
676,(abierto)
677,(abierto)
678,(abierto)
679,(abierto)
680,(abierto)
681,(abierto)
682,(abierto)
683,(abierto)
684,(abierto)
685,(abierto)
686,(abierto)
687,(abierto)
688,(abierto)
689,(abierto)
690,(abierto)
691,(abierto)
692,(abierto)
693,(abierto)
694,(abierto)
695,(abierto)
696,(abierto)
697,(abierto)
698,(abierto)
699,(abierto)
700,(abierto)
701,(abierto)
702,(abierto)
703,(abierto)
704,(abierto)
705,(abierto)
706,(abierto)
707,(abierto)
708,(abierto)
709,(abierto)
710,(abierto)
711,(abierto)
712,(abierto)
713,(abierto)
714,(abierto)
715,(abierto)
716,(abierto)
717,(abierto)
718,(abierto)
719,(abierto)
720,(abierto)
721,(abierto)
722,(abierto)
723,(abierto)
724,(abierto)
725,(abierto)
726,(abierto)
727,(abierto)
728,(abierto)
729,(abierto)
730,(abierto)
731,(abierto)
732,(abierto)
733,(abierto)
734,(abierto)
735,(abierto)
736,(abierto)
737,(abierto)
738,(abierto)
739,(abierto)
740,(abierto)
741,(abierto)
742,(abierto)
743,(abierto)
744,(abierto)
745,(abierto)
746,(abierto)
747,(abierto)
748,(abierto)
749,(abierto)
750,(abierto)
751,(abierto)
752,(abierto)
753,(abierto)
754,(abierto)
755,(abierto)
756,(abierto)
757,(abierto)
758,(abierto)
759,(abierto)
760,(abierto)
761,(abierto)
762,(abierto)
763,(abierto)
764,(abierto)
765,(abierto)
766,(abierto)
767,(abierto)
768,(abierto)
769,(abierto)
770,(abierto)
771,(abierto)
772,(abierto)
773,(abierto)
774,(abierto)
775,(abierto)
776,(abierto)
777,(abierto)
778,(abierto)
779,(abierto)
780,(abierto)
781,(abierto)
782,(abierto)
783,(abierto)
784,(abierto)
785,(abierto)
786,(abierto)
787,(abierto)
788,(abierto)
789,(abierto)
790,(abierto)
791,(abierto)
792,(abierto)
793,(abierto)
794,(abierto)
795,(abierto)
796,(abierto)
797,(abierto)
798,(abierto)
799,(abierto)
800,(abierto)
801,(abierto)
802,(abierto)
803,(abierto)
804,(abierto)
805,(abierto)
806,(abierto)
807,(abierto)
808,(abierto)
809,(abierto)
810,(abierto)
811,(abierto)
812,(abierto)
813,(abierto)
814,(abierto)
815,(abierto)
816,(abierto)
817,(abierto)
818,(abierto)
819,(abierto)
820,(abierto)
821,(abierto)
822,(abierto)
823,(abierto)
824,(abierto)
825,(abierto)
826,(abierto)
827,(abierto)
828,(abierto)
829,(abierto)
830,(abierto)
831,(abierto)
832,(abierto)
833,(abierto)
834,(abierto)
835,(abierto)
836,(abierto)
837,(abierto)
838,(abierto)
839,(abierto)
840,(abierto)
841,(abierto)
842,(abierto)
843,(abierto)
844,(abierto)
845,(abierto)
846,(abierto)
847,(abierto)
848,(abierto)
849,(abierto)
850,(abierto)
851,(abierto)
852,(abierto)
853,(abierto)
854,(abierto)
855,(abierto)
856,(abierto)
857,(abierto)
858,(abierto)
859,(abierto)
860,(abierto)
861,(abierto)
862,(abierto)
863,(abierto)
864,(abierto)
865,(abierto)
866,(abierto)
867,(abierto)
868,(abierto)
869,(abierto)
870,(abierto)
871,(abierto)
872,(abierto)
873,(abierto)
874,(abierto)
875,(abierto)
876,(abierto)
877,(abierto)
878,(abierto)
879,(abierto)
880,(abierto)
881,(abierto)
882,(abierto)
883,(abierto)
884,(abierto)
885,(abierto)
886,(abierto)
887,(abierto)
888,(abierto)
889,(abierto)
890,(abierto)
891,(abierto)
892,(abierto)
893,(abierto)
894,(abierto)
895,(abierto)
896,(abierto)
897,(abierto)
898,(abierto)
899,(abierto)
900,(abierto)
901,(abierto)
902,(abierto)
903,(abierto)
904,(abierto)
905,(abierto)
906,(abierto)
907,(abierto)
908,(abierto)
909,(abierto)
910,(abierto)
